id,title,date,time,category
news_20250101_종목_0019,HBM 호조로 11% 성장 예상 … 中 메모리 저가공세는 숙제,2025-01-01,16:00,종목
news_20250101_종목_0020,유료 챗GPT 무료로 쓰세요 … 인공지능 PC 대전,2025-01-01,17:15,종목
news_20250101_종목_0022,한화정밀기계 대표이사에 '반도체 베테랑' 김재현 내정,2025-01-01,17:26,종목
news_20250101_종목_0021,"LS일렉, 북미 매출 2년새 6배 … 글로벌 '빅4' 도전",2025-01-01,17:26,종목
news_20250101_종목_0023,전문가 57인 꼽은 2025년 정책 우선순위는?,2025-01-01,21:00,종목
news_20250101_섹터_0017,반도체 ·선박·바이오가 '수출 삼총사'… 문제는 올해다,2025-01-01,17:57,섹터
news_20250101_섹터_0006,2024년 연간 수출 6838억 달러 역대 최대...12월 반도체 수출도 급증,2025-01-01,09:08,섹터
news_20250101_섹터_0005,“거실부터 공장까지 삼성 로봇 투입”…휴머노이드 앞세워 반격하는 삼성전자,2025-01-01,08:55,섹터
news_20250101_경제_0001,"정부, 한은 마통서 173조 썼다",2025-01-01,17:47,경제
news_20250101_섹터_0010,악재에 움츠린 韓증시 … 하반기 반등땐 '삼천피' 꿈 아냐,2025-01-01,15:58,섹터
news_20250102_종목_0023,"""K반도체·배터리 복합위기…기술리더십으로 재도약""",2025-01-02,17:43,종목
news_20250102_종목_0025,삼성전자 를 어쩌나 … 실적발표 앞두고 목표가 줄하향,2025-01-02,17:48,종목
news_20250102_종목_0021,"삼성전자 , 新스크린 가전으로 연결 기기 제어…'AI홈' 시대 선도",2025-01-02,15:59,종목
news_20250102_종목_0022,"기업이 멈추지 않는 한, 돌파 못할 위기는 없다",2025-01-02,15:59,종목
news_20250102_종목_0024,"""모니터에도 AI 기능 탑재"" 삼성, 신제품 CES서 공개",2025-01-02,17:43,종목
news_20250102_섹터_0004,"반도체 ·선박·바이오, 올해는 대박 어려운데…韓 역대급 수출, 반짝 그치나",2025-01-02,08:13,섹터
news_20250102_섹터_0018,목표가 떨어지며 새해 시작한 삼성전자…52층까지 내려갔다가 반등,2025-01-02,15:48,섹터
